event_id,timestamp,event_type,severity,user_email,user_role,user_team,resource_type,resource_name,resource_id,action,action_result,description,ip_address,user_agent,session_id,request_id,approver_email,approval_status,metadata,before_state,after_state,risk_score,compliance_tags
AUDIT-1735234567890-ABC123,2024-12-26T10:00:00.000Z,LOGIN,LOW,alice@company.com,Senior SDE,Backend,,,system_access,SUCCESS,User login attempt,192.168.1.100,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),sess_abc123,,,,,{},,,10,"authentication,identity"
AUDIT-1735234567891-DEF456,2024-12-26T10:05:00.000Z,ACCESS_REQUEST,HIGH,alice@company.com,Senior SDE,Backend,database,production_db,db_001,request_access,SUCCESS,Access request for database:production_db - Debug customer issue,192.168.1.100,,sess_abc123,REQ-1735234567891,bob@company.com,pending,"{""urgency"": ""high"", ""reason"": ""Debug customer issue""}",,,75,"access_control,production_access,data_access,gdpr"
AUDIT-1735234567892-GHI789,2024-12-26T10:10:00.000Z,TOOL_EXECUTED,LOW,alice@company.com,Senior SDE,Backend,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed successfully,192.168.1.100,,sess_abc123,,,,,"{""tool_name"": ""checkUserAccess"", ""parameters"": {""userEmail"": ""alice@company.com""}, ""execution_time_ms"": 150}",,,5,"automation,tool_usage"
AUDIT-1735234567893-JKL012,2024-12-26T10:15:00.000Z,UI_ACTION_PERFORMED,LOW,eve@company.com,SDE Intern,Mobile,,,ui_access_request_form_submit,SUCCESS,UI interaction: access_request_form - submit,192.168.1.101,,sess_def456,,,,,"{""component_type"": ""access_request_form"", ""ui_action"": ""submit"", ""form_data"": {""resourceType"": ""database"", ""resourceName"": ""staging_db""}}",,,15,"user_interaction,ui"
AUDIT-1735234567894-MNO345,2024-12-26T10:20:00.000Z,IP_WHITELISTED,MEDIUM,charlie@company.com,SDE,Frontend,network,vpn_whitelist,ip_001,ip_whitelisted,SUCCESS,IP 203.45.67.89 whitelisted for charlie@company.com,203.45.67.89,,sess_ghi789,,,,,"{""whitelist_reason"": ""Working from home"", ""network_action"": ""WHITELISTED""}",,,50
AUDIT-1735234567895-PQR678,2024-12-26T10:25:00.000Z,SECURITY_VIOLATION,HIGH,unknown,,,,,suspicious_activity,FAILURE,Multiple failed access attempts detected,10.0.0.1,,,,,,,,"{""failed_attempts"": 5, ""time_window"": ""5_minutes""}",,,90
AUDIT-1762036183793-64UNOO,2025-11-01T22:29:43.793Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,suggested_query_clicked,SUCCESS,User clicked suggested query: Whitelist my IP,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""suggestion_text"":""Whitelist my IP"",""input_method"":""suggestion_button"",""ui_component"":""suggested_queries"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:29:43.635Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:29:43.793Z""}",,,0,
AUDIT-1762036183928-0M6FMU,2025-11-01T22:29:43.928Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 1 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036183928-1myofp,,,"{""message_count"":1,""last_message"":""Whitelist my IP"",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036187907-IVRHH4,2025-11-01T22:29:47.907Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""alice@company.com""}}",,,0,"automation,tool_usage"
AUDIT-1762036187914-AT3SE9,2025-11-01T22:29:47.914Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,access_check_completed,SUCCESS,User access check returned 6 active permissions,,,,,,,"{""access_count"":6,""resources"":""database:staging_db,database:production_db,api_key:stripe,network:vpn_whitelist,cloud:aws_dev,tool:datadog""}",,,0,
