user_email,resource_type,resource_name,access_level,granted_date,granted_by,expires_at,status
alice@company.com,database,staging_db,read_write,2023-01-15,auto,null,active
alice@company.com,database,production_db,read_only,2023-06-20,bob@company.com,null,active
alice@company.com,api_key,stripe,admin,2023-03-10,auto,null,active
alice@company.com,network,vpn_whitelist,whitelist,2023-01-16,auto,null,active
alice@company.com,cloud,aws_dev,developer,2023-02-01,auto,null,active
alice@company.com,tool,datadog,viewer,2023-01-20,auto,null,active
charlie@company.com,database,staging_db,read_only,2024-06-02,auto,null,active
charlie@company.com,github,frontend_team_org,member,2024-06-01,sarah@company.com,null,active
charlie@company.com,cloud,aws_dev,developer,2024-06-05,auto,null,active
eve@company.com,database,staging_db,read_only,2024-01-06,auto,2024-07-06,active
frank@company.com,database,staging_db,read_write,2022-08-21,auto,null,active
frank@company.com,database,production_db,read_only,2023-01-15,bob@company.com,null,active
frank@company.com,network,vpn_whitelist,whitelist,2022-08-22,auto,null,active
diana@company.com,database,production_db,read_write,2021-09-15,bob@company.com,null,active
diana@company.com,cloud,aws_dev,admin,2021-09-20,mike@company.com,null,active
diana@company.com,network,vpn_whitelist,whitelist,2021-09-13,auto,null,active
lisa@company.com,cloud,aws_dev,admin,2021-12-01,mike@company.com,null,active
lisa@company.com,database,production_db,read_write,2021-12-05,mike@company.com,null,active
lisa@company.com,tool,datadog,admin,2021-12-01,auto,null,active
mike@company.com,cloud,aws_dev,admin,2019-02-15,cto@company.com,null,active
mike@company.com,database,production_db,admin,2019-02-15,cto@company.com,null,active
